county,year,month,fatalities
Bergen,2012,3,2
Bergen,2012,4,4
Bergen,2012,5,2
Bergen,2012,6,1
Bergen,2012,7,6
Bergen,2012,8,2
Bergen,2012,9,2
Bergen,2012,10,1
Bergen,2012,11,2
Bergen,2012,12,1
Bergen,2013,1,6
Bergen,2013,2,1
Bergen,2013,3,3
Bergen,2013,4,1
Bergen,2013,6,2
Bergen,2013,7,2
Bergen,2013,8,4
Bergen,2013,9,4
Bergen,2013,10,5
Bergen,2013,11,5
Bergen,2013,12,4
Bergen,2014,1,4
Bergen,2014,2,2
Bergen,2014,3,2
Bergen,2014,4,2
Bergen,2014,5,2
Bergen,2014,6,9
Bergen,2014,7,6
Bergen,2014,8,2
Bergen,2014,9,2
Bergen,2014,10,2
Bergen,2014,11,1
Bergen,2014,12,5
Bergen,2015,1,1
Bergen,2015,2,2
Bergen,2015,3,3
Bergen,2015,4,4
Bergen,2015,5,2
Bergen,2015,6,6
Bergen,2015,7,4
Bergen,2015,8,1
Bergen,2015,9,1
Bergen,2015,10,1
Bergen,2015,11,1
Bergen,2015,12,4
Bergen,2016,1,2
Bergen,2016,2,6
Bergen,2016,3,1
Bergen,2016,5,1
Bergen,2016,6,6
Bergen,2016,7,3
Bergen,2016,8,3
Bergen,2016,9,2
Bergen,2016,10,6
Bergen,2016,11,4
Bergen,2016,12,1
Bergen,2017,2,3
Bergen,2017,3,1
Bergen,2017,4,2
Bergen,2017,5,5
Bergen,2017,6,2
Bergen,2017,7,2
Bergen,2017,8,3
Bergen,2017,9,2
Bergen,2017,10,2
Bergen,2017,11,5
Bergen,2018,1,1
Bergen,2018,2,3
Bergen,2018,4,3
Bergen,2018,5,1
Bergen,2018,6,4
Bergen,2018,7,3
Bergen,2018,8,1
Bergen,2018,9,5
Bergen,2018,10,5
Bergen,2018,11,1
Bergen,2018,12,5
Bergen,2019,2,6
Bergen,2019,3,3
Bergen,2019,4,4
Bergen,2019,5,2
Bergen,2019,6,4
Bergen,2019,7,3
Bergen,2019,8,4
Bergen,2019,9,3
Bergen,2019,10,4
Bergen,2019,11,3
Bergen,2019,12,6
Bergen,2020,1,2
Bergen,2020,2,3
Bergen,2020,3,7
Bergen,2020,4,1
Bergen,2020,5,8
Bergen,2020,6,3
Bergen,2020,7,5
Bergen,2020,8,4
Bergen,2020,9,2
Bergen,2020,10,1
Bergen,2020,11,4
Bergen,2020,12,3
Bergen,2021,1,1
Bergen,2021,3,4
Bergen,2021,4,1
Bergen,2021,5,7
Bergen,2021,6,2
Bergen,2021,7,2
Bergen,2021,8,1
Bergen,2021,9,5
Bergen,2021,10,2
Bergen,2021,11,8
Bergen,2021,12,2
Bergen,2022,1,2
Bergen,2022,2,2
Bergen,2022,3,1
Bergen,2022,5,4
Bergen,2022,6,6
Bergen,2022,7,8
Bergen,2022,8,4
Bergen,2022,9,6
Bergen,2022,10,3
Bergen,2022,11,6
Bergen,2022,12,2
Bergen,2023,1,4
Bergen,2023,2,1
Bergen,2023,3,1
Bergen,2023,4,5
Bergen,2023,5,3
Bergen,2023,6,3
Bergen,2023,7,5
Bergen,2023,8,1
Bergen,2023,9,4
Bergen,2023,10,4
Bergen,2023,11,4
Bergen,2023,12,3
Bergen,2024,1,7
Bergen,2024,2,3
Bergen,2024,3,3
Bergen,2024,4,4
Bergen,2024,5,3
Bergen,2024,6,2
Bergen,2024,7,5
Bergen,2024,9,4
Bergen,2024,10,4
Bergen,2024,11,5
Bergen,2024,12,2
Bergen,2025,1,3
Bergen,2025,2,2
Bergen,2025,3,2
Bergen,2025,5,1
Bergen,2025,6,2
Bergen,2025,7,7
Bergen,2025,8,2
Bergen,2025,9,2
Bergen,2025,10,3
Bergen,2025,11,6
Bergen,2025,12,2
Bergen,2026,1,2
Burlington,2008,1,3
Burlington,2008,2,2
