year,county,cc,mc,month,municipality,date,persons_killed,driver,passenger,cyclist,pedestrian
2015,Middlesex,12,15.0,6,OLD BRIDGE TWSP,06/15/2015,.7 1 PEDESTRIAN,0,0,0,1
2015,Monmouth,13,33.0,6,MILLSTONE TWSP,06/15/2015,.5 1 DRIVER,1,0,0,0
2015,Salem,17,12.0,6,QUINTON TWSP,06/15/2015,.8 1 DRIVER,1,0,0,0
2015,Union,20,13.0,6,RAHWAY CITY,06/15/2015,.0 1 DRIVER,1,0,0,0
2015,Middlesex,12,12.0,6,MONROE TWSP,06/16/2015,.4 1 DRIVER,1,0,0,0
2015,Passaic,16,8.0,6,PATERSON CITY,06/16/2015,.0 1 PEDESTRIAN,0,0,0,1
2015,Bergen,2,8.0,6,CRESSKILL BORO,06/17/2015,.0 1 PEDALCYCLIST,0,0,1,0
2015,Bergen,2,46.0,6,PARAMUS BORO,06/17/2015,.8 1 PEDESTRIAN,0,0,0,1
2015,Bergen,2,31.0,6,LODI BORO,06/18/2015,.1 1 PEDESTRIAN,0,0,0,1
2015,Bergen,2,49.0,6,RIDGEFIELD BORO,06/19/2015,.7 1 DRIVER,1,0,0,0
2015,Morris,14,17.0,6,MADISON BORO,06/20/2015,.8 1 PEDESTRIAN,0,0,0,1
2015,Camden,4,27.0,6,PENNSAUKEN TWSP,06/21/2015,.3 1 PEDESTRIAN,0,0,0,1
2015,Cumberland,6,1.0,6,BRIDGETON CITY,06/21/2015,.6 1 PEDESTRIAN,0,0,0,1
2015,Morris,14,8.0,6,DENVILLE TWSP,06/21/2015,.7 1 DRIVER,1,0,0,0
2015,Middlesex,12,4.0,6,EAST BRUNSWICK TWSP,06/22/2015,.9 1 DRIVER,1,0,0,0
2015,Burlington,3,18.0,6,MANSFIELD TWSP,06/23/2015,.8 1 DRIVER,1,0,0,0
2015,Monmouth,13,39.0,6,RED BANK BORO,06/23/2015,.9 1 PEDESTRIAN,0,0,0,1
2015,Morris,14,29.0,6,PARSIPPANY-TROY HIL,06/23/2015,.8 1 DRIVER,1,0,0,0
2015,Union,20,9.0,6,LINDEN CITY,06/24/2015,.5 1 PASSENGER,0,1,0,0
2015,Hudson,9,6.0,6,JERSEY CITY,06/25/2015,.0 1 DRIVER,1,0,0,0
2015,Monmouth,13,37.0,6,OCEAN TWSP,06/25/2015,.8 1 DRIVER,1,0,0,0
2015,Ocean,15,17.0,6,LITTLE EGG HARBOR T,06/25/2015,.0 1 DRIVER,1,0,0,0
2015,Cumberland,6,14.0,6,VINELAND CITY,06/26/2015,.5 1 DRIVER,1,0,0,0
2015,Hudson,9,5.0,6,HOBOKEN CITY,06/26/2015,.0 1 PEDESTRIAN,0,0,0,1
2015,Mercer,11,2.0,6,EWING TWSP,06/26/2015,.0 1 PEDALCYCLIST,0,0,1,0
2015,Union,20,4.0,6,ELIZABETH CITY,06/26/2015,.4 1 PEDESTRIAN,0,0,0,1
2015,Middlesex,12,5.0,6,EDISON TWSP,06/27/2015,.1 1 PASSENGER,0,1,0,0
2015,Camden,4,22.0,6,LINDENWOLD BORO,06/28/2015,.6 1 DRIVER,1,0,0,0
2015,Hudson,9,6.0,6,JERSEY CITY,06/28/2015,.0 1 PEDESTRIAN,0,0,0,1
2015,Camden,4,36.0,6,WINSLOW TWSP,06/29/2015,.4 1 PASSENGER,0,1,0,0
